Log created: 2023-04-10 09:32:54
Type: backup
[2023-04-10 09:33:05][notice]Preparing to dump table wp_terms
[2023-04-10 09:33:05][notice]Preparing to dump table wp_wc_admin_notes
[2023-04-10 09:33:05][notice]Preparing to dump table wp_wc_customer_lookup
[2023-04-10 09:33:05][notice]Preparing to dump table wp_wc_download_log
[2023-04-10 09:33:05][notice]Preparing to dump table wp_wc_order_coupon_lookup
[2023-04-10 09:33:05][notice]Preparing to dump table wp_wc_order_tax_lookup
[2023-04-10 09:33:05][notice]Preparing to dump table wp_wflogins
[2023-04-10 09:33:05][notice]Preparing to dump table wp_woocommerce_api_keys
[2023-04-10 09:33:05][notice]Preparing to dump table wp_woocommerce_order_itemmeta
[2023-04-10 09:33:05][notice]Preparing to dump table wp_woocommerce_payment_tokenmeta
[2023-04-10 09:33:05][notice]Preparing to dump table wp_woocommerce_shipping_zone_locations
[2023-04-10 09:33:05][notice]Preparing to dump table wp_woocommerce_tax_rate_locations
[2023-04-10 09:33:05][notice]Preparing to dump table wp_yoast_primary_term
[2023-04-10 09:33:05][notice]Preparing to dump table wp_yoast_seo_links
[2023-04-10 09:33:05][notice]Preparing to dump table wp_mailpoet_newsletter_links
[2023-04-10 09:33:05][notice]Preparing to dump table wp_mailpoet_statistics_clicks
[2023-04-10 09:33:05][notice]Preparing to dump table wp_mailpoet_statistics_unsubscribes
[2023-04-10 09:33:05][notice]Preparing to dump table wp_ulike_meta
[2023-04-10 09:33:05][notice]Preparing to dump table wp_users
[2023-04-10 09:33:05][notice]Preparing to dump table wp_wc_order_stats
[2023-04-10 09:33:05][notice]Preparing to dump table wp_wfblocks7
[2023-04-10 09:33:05][notice]Preparing to dump table wp_wfhits
[2023-04-10 09:33:05][notice]Preparing to dump table wp_wfsnipcache
[2023-04-10 09:33:05][notice]Preparing to dump table wp_yoast_indexable_hierarchy
[2023-04-10 09:33:05][notice]Preparing to dump table wp_mailpoet_statistics_woocommerce_purchases
[2023-04-10 09:33:05][notice]Preparing to dump table wp_ulike
[2023-04-10 09:33:05][notice]Preparing to dump table wp_ulike_activities
[2023-04-10 09:33:05][notice]Preparing to dump table wp_ulike_comments
[2023-04-10 09:33:06][notice]Preparing to dump table wp_ulike_forums
[2023-04-10 09:33:06][notice]Preparing to dump table wp_usermeta
[2023-04-10 09:33:06][notice]Preparing to dump table wp_wc_order_product_lookup
[2023-04-10 09:33:06][notice]Preparing to dump table wp_wfissues
[2023-04-10 09:33:06][notice]Preparing to dump table wp_wfpendingissues
[2023-04-10 09:33:06][notice]Preparing to dump table wp_woocommerce_downloadable_product_permissions
[2023-04-10 09:33:06][notice]Preparing to dump table wp_woocommerce_tax_rates
[2023-04-10 09:33:06][notice]Preparing to dump table wp_aioseo_notifications
[2023-04-10 09:33:06][notice]Preparing to dump table wp_mailpoet_statistics_opens
[2023-04-10 09:33:06][notice]Preparing to dump table wp_wfstatus
[2023-04-10 09:33:06][notice]Preparing to dump table wp_comments
[2023-04-10 09:33:06][notice]Preparing to dump table wp_wc_product_meta_lookup
[2023-04-10 09:33:06][notice]Preparing to dump table wp_aioseo_cache
[2023-04-10 09:33:06][notice]Preparing to dump table wp_aioseo_posts
[2023-04-10 09:33:06][notice]Preparing to dump table wp_mailpoet_subscribers
[2023-04-10 09:33:06][notice]Preparing to dump table wp_yoast_indexable
[2023-04-10 09:33:06][notice]Preparing to dump table wp_actionscheduler_logs
